"Story","Title","Result","Date","Stability","Duration (s)"
"Registrar un producto en página web de Sport10","Registrar un nuevo producto correctamente","SUCCESS","2025-12-05T13:03:56.1834429-05:00[America/Bogota]","0.0","23.14"
"Editar un producto en la página web de Sport10","Editar el último producto registrado correctamente","SUCCESS","2025-12-05T13:04:20.6944687-05:00[America/Bogota]","0.0","24.08"
"Eliminar un producto en la página web de Sport10","Eliminar el último producto registrado correctamente","SUCCESS","2025-12-05T13:04:46.3791032-05:00[America/Bogota]","0.0","19.4"
"Editar proveedor existente","Editar un proveedor exitosamente","SUCCESS","2025-12-05T13:03:21.5162176-05:00[America/Bogota]","0.0","18.16"
"Eliminar proveedor aleatorio","El administrador elimina un proveedor aleatorio","SUCCESS","2025-12-05T13:03:41.1730486-05:00[America/Bogota]","0.0","13.85"
"Registrar un nuevo proveedor","Registrar un proveedor exitosamente","SUCCESS","2025-12-05T13:02:48.6899612-05:00[America/Bogota]","0.0","29.47"
"Editar un usuario en pagina web de Sport10","Verificar la modificacion exitosa de datos de un usuario","SUCCESS","2025-12-05T13:05:55.896011-05:00[America/Bogota]","0.0","23.22"
"Eliminar un usuario en pagina web de Sport10","Verificar que se elimina el usuario","SUCCESS","2025-12-05T13:06:20.9918025-05:00[America/Bogota]","0.0","12.47"
"Registrar un usuario en pagina web de Sport10","Verificar el registro exitoso de un nuevo usuario","SUCCESS","2025-12-05T13:05:07.1715361-05:00[America/Bogota]","0.0","46.24"
